species,plot,abund,tval,tp,ts,tvalNA
Melicytus dentatus,4,0.0236577829277713,0.602059991327962,0.691718154918321,0.602059991327962,0.602059991327962
Melicytus dentatus,6,0.0025756600128783,0.602059991327962,0.841136583418707,0.602059991327962,0.602059991327962
Melicytus dentatus,6,0.0025756600128783,0.602059991327962,0.841136583418707,0.602059991327962,0.602059991327962
Melicytus dentatus,6,0.0025756600128783,0.602059991327962,0.841136583418707,0.602059991327962,0.602059991327962
Melicytus dentatus,6,0.0025756600128783,0.602059991327962,0.841136583418707,0.602059991327962,0.602059991327962
Melicytus dentatus,8,0.00714154916681926,0.602059991327962,0.625342052468962,0.602059991327962,0.602059991327962
Melicytus dentatus,8,0.00714154916681926,0.602059991327962,0.625342052468962,0.602059991327962,0.602059991327962
Melicytus dentatus,8,0.00714154916681926,0.602059991327962,0.625342052468962,0.602059991327962,0.602059991327962
Melicytus dentatus,8,0.00714154916681926,0.602059991327962,0.625342052468962,0.602059991327962,0.602059991327962
Melicytus dentatus,12,0.0290178571428571,0.602059991327962,0.575774184378803,0.602059991327962,0.602059991327962
Melicytus dentatus,12,0.0290178571428571,0.602059991327962,0.575774184378803,0.602059991327962,0.602059991327962
Melicytus dentatus,12,0.0290178571428571,0.602059991327962,0.575774184378803,0.602059991327962,0.602059991327962
Melicytus dentatus,12,0.0290178571428571,0.602059991327962,0.575774184378803,0.602059991327962,0.602059991327962
Microlaena stipoides,4,0.0142912321359598,-0.154901959985743,0.691718154918321,-0.154901959985743,-0.154901959985743
Microlaena stipoides,4,0.0142912321359598,-0.154901959985743,0.691718154918321,-0.154901959985743,-0.154901959985743
Microlaena stipoides,4,0.0142912321359598,-0.154901959985743,0.691718154918321,-0.154901959985743,-0.154901959985743
Microlaena stipoides,4,0.0142912321359598,-0.154901959985743,0.691718154918321,-0.154901959985743,-0.154901959985743
Microlaena stipoides,4,0.0142912321359598,-0.154901959985743,0.691718154918321,-0.154901959985743,-0.154901959985743
Microlaena stipoides,4,0.0142912321359598,-0.154901959985743,0.691718154918321,-0.154901959985743,-0.154901959985743
Microlaena stipoides,5,0.0639249946729171,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Microlaena stipoides,5,0.0639249946729171,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Microlaena stipoides,5,0.0639249946729171,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Microlaena stipoides,5,0.0639249946729171,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Microlaena stipoides,5,0.0639249946729171,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Microlaena stipoides,5,0.0639249946729171,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Microlaena stipoides,6,0.00407812835372397,-0.154901959985743,0.841136583418707,-0.154901959985743,-0.154901959985743
Microlaena stipoides,6,0.00407812835372397,-0.154901959985743,0.841136583418707,-0.154901959985743,-0.154901959985743
Microlaena stipoides,6,0.00407812835372397,-0.154901959985743,0.841136583418707,-0.154901959985743,-0.154901959985743
Microlaena stipoides,6,0.00407812835372397,-0.154901959985743,0.841136583418707,-0.154901959985743,-0.154901959985743
Microlaena stipoides,6,0.00407812835372397,-0.154901959985743,0.841136583418707,-0.154901959985743,-0.154901959985743
Microlaena stipoides,6,0.00407812835372397,-0.154901959985743,0.841136583418707,-0.154901959985743,-0.154901959985743
Microlaena stipoides,10,0.00309310238168883,-0.154901959985743,0.622746963010185,-0.154901959985743,-0.154901959985743
Microlaena stipoides,10,0.00309310238168883,-0.154901959985743,0.622746963010185,-0.154901959985743,-0.154901959985743
Microlaena stipoides,10,0.00309310238168883,-0.154901959985743,0.622746963010185,-0.154901959985743,-0.154901959985743
Microlaena stipoides,10,0.00309310238168883,-0.154901959985743,0.622746963010185,-0.154901959985743,-0.154901959985743
Microlaena stipoides,10,0.00309310238168883,-0.154901959985743,0.622746963010185,-0.154901959985743,-0.154901959985743
Microlaena stipoides,10,0.00309310238168883,-0.154901959985743,0.622746963010185,-0.154901959985743,-0.154901959985743
Microlaena stipoides,11,0.0867254161421178,-0.154901959985743,0.112635345606634,-0.154901959985743,-0.154901959985743
Microlaena stipoides,11,0.0867254161421178,-0.154901959985743,0.112635345606634,-0.154901959985743,-0.154901959985743
Microlaena stipoides,11,0.0867254161421178,-0.154901959985743,0.112635345606634,-0.154901959985743,-0.154901959985743
Microlaena stipoides,11,0.0867254161421178,-0.154901959985743,0.112635345606634,-0.154901959985743,-0.154901959985743
Microlaena stipoides,11,0.0867254161421178,-0.154901959985743,0.112635345606634,-0.154901959985743,-0.154901959985743
Microlaena stipoides,11,0.0867254161421178,-0.154901959985743,0.112635345606634,-0.154901959985743,-0.154901959985743
Microlaena stipoides,12,0.0107142857142857,-0.154901959985743,0.575774184378803,-0.154901959985743,-0.154901959985743
Microlaena stipoides,12,0.0107142857142857,-0.154901959985743,0.575774184378803,-0.154901959985743,-0.154901959985743
Microlaena stipoides,12,0.0107142857142857,-0.154901959985743,0.575774184378803,-0.154901959985743,-0.154901959985743
Microlaena stipoides,12,0.0107142857142857,-0.154901959985743,0.575774184378803,-0.154901959985743,-0.154901959985743
Microlaena stipoides,12,0.0107142857142857,-0.154901959985743,0.575774184378803,-0.154901959985743,-0.154901959985743
Microlaena stipoides,12,0.0107142857142857,-0.154901959985743,0.575774184378803,-0.154901959985743,-0.154901959985743
Notelaea longifolia,13,0.00813008130081301,0.954242509439325,0.410966764851997,0.954242509439325,0.954242509439325
Notelaea microcarpa var. microcarpa,11,0.00531542873129109,1,0.112635345606634,1,1
Notelaea microcarpa var. velutina,12,0.003125,1,0.575774184378803,1,1
Oplismenus aemulus,4,0.0216299729625338,-0.522878745280338,0.691718154918321,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,4,0.0216299729625338,-0.522878745280338,0.691718154918321,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,4,0.0216299729625338,-0.522878745280338,0.691718154918321,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,4,0.0216299729625338,-0.522878745280338,0.691718154918321,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,11,0.00419639110365086,-0.522878745280338,0.112635345606634,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,11,0.00419639110365086,-0.522878745280338,0.112635345606634,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,11,0.00419639110365086,-0.522878745280338,0.112635345606634,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,11,0.00419639110365086,-0.522878745280338,0.112635345606634,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,12,0.00535714285714286,-0.522878745280338,0.575774184378803,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,12,0.00535714285714286,-0.522878745280338,0.575774184378803,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,12,0.00535714285714286,-0.522878745280338,0.575774184378803,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,12,0.00535714285714286,-0.522878745280338,0.575774184378803,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,13,0.00677506775067751,-0.522878745280338,0.410966764851997,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,13,0.00677506775067751,-0.522878745280338,0.410966764851997,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,13,0.00677506775067751,-0.522878745280338,0.410966764851997,-0.522878745280338,-0.522878745280338
Oplismenus aemulus,13,0.00677506775067751,-0.522878745280338,0.410966764851997,-0.522878745280338,-0.522878745280338
Oplismenus imbecillis,13,0.0623306233062331,-0.522878745280338,0.410966764851997,-0.522878745280338,-0.522878745280338
Pellaea falcata,4,0.0173812282734647,0.0413926851582251,0.691718154918321,0.0413926851582251,0.0413926851582251
Pennisetum clandestinum,12,0.0660714285714286,-0.0457574905606751,0.575774184378803,-0.0457574905606751,-0.0457574905606751
Pittosporum spinescens,1,0.00579523502897617,0.903089986991944,0.71485249122898,0.903089986991944,0.903089986991944
Platylobium formosum subsp. formosum,9,0.00416790711521286,0.397940008672038,0.55493073431833,0.397940008672038,0.397940008672038
Poa labillardierei var. labillardierei,8,0.00476103277787951,0.0791812460476248,0.625342052468962,0.0791812460476248,0.0791812460476248
Poa labillardierei var. labillardierei,8,0.00476103277787951,0.0791812460476248,0.625342052468962,0.0791812460476248,0.0791812460476248
Poa labillardierei var. labillardierei,9,0.0994343554629354,0.0791812460476248,0.55493073431833,0.0791812460476248,0.0791812460476248
Poa labillardierei var. labillardierei,9,0.0994343554629354,0.0791812460476248,0.55493073431833,0.0791812460476248,0.0791812460476248
Poa meionectes,3,0.0252051582649472,-0.154901959985743,0.442951743031154,-0.154901959985743,-0.154901959985743
Poa meionectes,3,0.0252051582649472,-0.154901959985743,0.442951743031154,-0.154901959985743,-0.154901959985743
Poa meionectes,5,0.0044747496271042,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Poa meionectes,5,0.0044747496271042,-0.154901959985743,0.647286719608045,-0.154901959985743,-0.154901959985743
Poa sieberiana,10,0.00896999690689762,0,0.622746963010185,0,0
Poa sieberiana,10,0.00896999690689762,0,0.622746963010185,0,0
Poa sieberiana,11,0.00153867673800532,0,0.112635345606634,0,0
Poa sieberiana,11,0.00153867673800532,0,0.112635345606634,0,0
Pomaderris aspera,3,0.037221570926143,0.602059991327962,0.442951743031154,0.602059991327962,0.602059991327962
Pomaderris aspera,3,0.037221570926143,0.602059991327962,0.442951743031154,0.602059991327962,0.602059991327962
Pomaderris aspera,3,0.037221570926143,0.602059991327962,0.442951743031154,0.602059991327962,0.602059991327962
Pomaderris aspera,3,0.037221570926143,0.602059991327962,0.442951743031154,0.602059991327962,0.602059991327962
Pomaderris aspera,3,0.037221570926143,0.602059991327962,0.442951743031154,0.602059991327962,0.602059991327962
Pomaderris aspera,7,0.00979020979020979,0.602059991327962,0.632057492454749,0.602059991327962,0.602059991327962
Pomaderris aspera,7,0.00979020979020979,0.602059991327962,0.632057492454749,0.602059991327962,0.602059991327962
